n1,n2,ratio,sid,RT,ACC,easyness
,,,382670,,,
23.0,26.0,0.88,382670,478.0,1.0,0.761
21.0,23.0,0.91,382670,618.0,1.0,0.691
19.0,21.0,0.9,382670,526.0,1.0,0.737
17.0,19.0,0.89,382670,490.0,1.0,0.755
15.0,17.0,0.88,382670,668.0,1.0,0.666
13.0,14.0,0.93,382670,505.0,1.0,0.7475
11.0,12.0,0.92,382670,528.0,1.0,0.736
9.0,10.0,0.9,382670,443.0,1.0,0.7785
7.0,8.0,0.88,382670,463.0,1.0,0.7685
5.0,7.0,0.71,382670,523.0,1.0,0.7385
3.0,6.0,0.5,382670,428.0,1.0,0.786
1.0,4.0,0.25,382670,485.0,1.0,0.7575
4.0,6.0,0.67,382670,452.0,1.0,0.774
3.0,11.0,0.27,382670,446.0,1.0,0.777
2.0,6.0,0.33,382670,458.0,1.0,0.771
1.0,4.0,0.25,382670,482.0,1.0,0.759
3.0,9.0,0.33,382670,792.0,1.0,0.604
25.0,28.0,0.89,382670,574.0,1.0,0.713
27.0,33.0,0.82,382670,547.0,1.0,0.7265
25.0,28.0,0.89,382670,697.0,1.0,0.6515
27.0,33.0,0.82,382670,540.0,1.0,0.73
25.0,28.0,0.89,382670,554.0,1.0,0.723
27.0,33.0,0.82,382670,544.0,1.0,0.728
24.0,27.0,0.89,382670,509.0,0.0,-0.2545
3.0,9.0,0.33,862316,1220.0,1.0,0.39
1.0,4.0,0.25,862316,974.0,1.0,0.513
3.0,4.0,0.75,862316,1018.0,1.0,0.491
2.0,9.0,0.22,862316,640.0,1.0,0.68
3.0,4.0,0.75,862316,855.0,1.0,0.5725
,,,862316,,,
1.0,4.0,0.25,862316,520.0,1.0,0.74
3.0,6.0,0.5,862316,479.0,1.0,0.7605
5.0,7.0,0.71,862316,661.0,1.0,0.6695
7.0,8.0,0.88,862316,819.0,1.0,0.5905
9.0,10.0,0.9,862316,607.0,1.0,0.6965
11.0,12.0,0.92,862316,615.0,1.0,0.6925
13.0,14.0,0.93,862316,561.0,1.0,0.7195
15.0,17.0,0.88,862316,813.0,1.0,0.5935
17.0,19.0,0.89,862316,952.0,1.0,0.524
