sid,session,age,grade,fluency,symbolic,nonsymbolic,mixed,stroop,ordinality,number_to_line,line_to_number,add,mult,sub
869053,1,,,,0.07,0.41,0.07,1.0,,,,,,
547182,1,11.4376279116,6.0,,0.93,,,,,,,,,
572942,2,,,0.0,,,,,,,,,,
270809,2,,7.0,,,,,,0.444444444444,,,,,
138354,1,,7.0,,,,,,,,0.23,,,
356907,1,,7.0,,,,,,0.177777777778,,,,,
490573,1,,7.0,,,,,,0.340740740741,1.0,,,,
401743,1,5.5821378123,3.0,,,,,,,,,,,
572942,3,,,,,,,,,,,,,
982953,1,,,,,,0.59,,,,,,,
875269,1,,,,0.07,0.93,0.79,0.98,,,,,,
972702,2,,,,0.07,,,,,,,,,
824438,1,,8.0,,,,,,,,,,,
636703,1,12.927486628,7.0,,,,,,,,,,,
863772,2,10.4300580107,5.0,,,,,,,,,,,
283772,1,11.1637700941,5.0,,1.0,0.65,0.69,1.0,0.374074074074,0.56,,,,
480101,1,10.7749932566,5.0,,1.0,0.5,,,0.674074074074,,,,,
773579,1,10.6709545649,5.0,,,,,,0.485185185185,0.29,0.34,,,
747661,1,,7.0,,1.0,0.69,0.83,1.0,0.407407407407,0.73,,,,
972755,1,14.7342916388,9.0,,1.0,0.63,0.07,1.0,,,,,,
457804,1,,,,,,,,,1.0,0.88,,,
785425,1,14.7672499232,7.0,,,,,,,,,,,
173446,1,,1.0,,,,,,,,,,,
791155,1,,4.0,,,,,,,,,,,
470384,1,8.26138883755,2.0,,,,,,,,,,,
773409,1,7.60996489775,2.0,,,,,,,,,,,
878208,1,5.32049907735,,,,,,,,,,,,
611370,1,,,,0.0,,,,,,,,,
375818,1,7.21415642423,1.0,,,,,,,,,,,
291242,1,10.8349609303,5.0,,,,,,,,,,,
832111,1,,,,,,,,,,,,,
992704,1,10.9007365794,5.0,,,,,,0.037037037037,1.0,,,,
366942,1,10.6379007706,5.0,,,,,,0.6,,0.31,,,
415388,1,,,,0.07,0.68,0.55,1.0,,,,,,
970865,1,11.2265686496,5.0,,1.0,0.9,,1.0,0.27037037037,,0.63,,,
152393,1,10.772286056,5.0,,1.0,,,,,,,,,
700928,1,11.070711582,5.0,,,,,,,,,,,
934111,1,11.2377306275,5.0,,,,,,,0.45,0.0,,,
316818,1,8.55001389234,4.0,,,,,,,,,,,
615149,1,,7.0,,,,,,0.233333333333,0.66,,,,
717314,1,,7.0,,1.0,0.48,0.57,1.0,,,,,,
616338,1,,7.0,,,,,,,1.0,,,,
730826,1,,7.0,,1.0,0.72,,,,,,,,
402629,2,,,,,,,,,,,,,
461070,1,6.72795680647,,,,,,,,,,,,
241275,1,10.2327597418,4.0,,,,,,,,,,,
706941,1,,5.0,,0.93,,,1.0,0.0,,,,,
295150,1,11.1582904775,5.0,,1.0,0.76,0.16,1.0,,1.0,0.17,,,
583694,1,,5.0,,1.0,0.69,0.28,1.0,,,,,,
724801,1,,5.0,,,,,,,1.0,0.15,,,
277247,1,11.5909204412,5.0,,,,,,,1.0,,,,
605372,1,9.6633351979,,,,,,,,,,,,
891218,1,13.58427132,8.0,,,,,,0.233333333333,,,,,
703279,1,8.73314330231,3.0,,,,,,,,,,,
719318,1,,3.0,,,,,,,,,,,
212847,1,6.11729504168,,,,,,,,,,,,
503026,1,,,,,,,,,,,,,
288604,1,,,,,,,,,,,,,
197163,1,16.9009697134,11.0,,,,,,,,,,,
793723,2,10.5092603684,5.0,,1.0,,,,,,,,,
