ACC,RT,avg_easyness,con,diff1,diff2,distance,easyness,n1,n2,play,practice,ratio,session,sid,sticking_point,stuck,trial
1,584,,incon,0.083333333,0.285714286,3,0.708,1,4,1,False,0.25,1,877616,,,7
1,659,,incon,0.166666667,0.571428571,3,0.6705,3,6,1,False,0.5,1,877616,,,8
1,771,,con,0.25,0.857142857,2,0.6145,5,7,1,False,0.71,1,877616,,,9
1,1017,,incon,0.333333333,1.0,1,0.4915,7,8,1,False,0.88,1,877616,,,10
1,1015,0.5954,con,0.375,1.0,1,0.4925,9,10,1,False,0.9,1,877616,,,11
0,1985,0.2553,incon,0.416666667,1.0,1,-0.9925,10,11,1,False,0.91,1,877616,,,12
1,1066,0.2146,con,0.375,0.857142857,1,0.467,11,12,1,False,0.92,1,877616,,,13
0,1263,-0.0346,incon,0.416666667,1.0,1,-0.6315,10,11,1,False,0.91,1,877616,,,14
1,747,-0.0076,incon,0.458333333,1.0,1,0.6265,11,12,1,False,0.92,1,877616,,True,15
0,1002,-0.2063,con,0.458333333,1.0,1,-0.501,12,13,1,False,0.92,1,877616,,True,16
1,1579,0.0343,incon,0.458333333,0.857142857,4,0.2105,14,18,1,False,0.78,1,877616,,True,17
0,1430,-0.2021,con,0.416666667,1.0,1,-0.715,12,13,1,False,0.92,1,877616,,True,18
1,1034,0.0208,con,0.416666667,0.857142857,1,0.483,11,12,1,False,0.92,1,877616,,True,19
1,990,-0.0035,con,0.375,1.0,4,0.505,13,17,1,False,0.76,1,877616,,True,20
1,1121,0.1846,incon,0.375,1.0,1,0.4395,10,11,1,False,0.91,1,877616,,True,21
1,858,,con,0.0,0.0,3,0.571,1,4,1,False,0.25,1,903253,,,7
1,710,,incon,0.083333333,0.285714286,6,0.645,3,9,1,False,0.33,1,903253,,,8
1,759,,con,0.166666667,0.571428571,1,0.6205,5,6,1,False,0.83,1,903253,,,9
1,886,,con,0.25,0.857142857,1,0.557,7,8,1,False,0.88,1,903253,,,10
1,761,0.6026,con,0.333333333,1.0,4,0.6195,9,13,1,False,0.69,1,903253,,,11
0,794,0.409,incon,0.416666667,1.0,1,-0.397,10,11,1,False,0.91,1,903253,,,12
1,696,0.4104,incon,0.375,0.857142857,1,0.652,11,12,1,False,0.92,1,903253,,,13
1,946,0.3917,con,0.458333333,1.0,1,0.527,10,11,1,False,0.91,1,903253,,,14
1,819,0.3984,con,0.541666667,1.0,1,0.5905,12,13,1,False,0.92,1,903253,,,15
1,1127,0.3618,incon,0.625,1.0,2,0.4365,14,16,1,False,0.88,1,903253,,,16
1,760,0.5652,incon,0.666666667,1.0,2,0.62,16,18,1,False,0.89,1,903253,,,17
0,790,0.3558,incon,0.75,1.0,2,-0.395,17,19,1,False,0.89,1,903253,,,18
1,637,0.3867,con,0.708333333,0.857142857,2,0.6815,19,21,1,False,0.9,1,903253,,,19
0,899,0.1787,incon,0.791666667,1.0,2,-0.4495,18,20,1,False,0.9,1,903253,,,20
1,734,0.218,con,0.75,0.857142857,2,0.633,20,22,1,False,0.91,1,903253,,,21
1,654,0.2286,con,0.833333333,1.0,2,0.673,19,21,1,False,0.9,1,903253,,,22
0,899,0.2177,con,0.916666667,1.0,2,-0.4495,21,23,1,False,0.91,1,903253,,,23
0,893,-0.0079,incon,0.875,0.857142857,3,-0.4465,23,26,1,False,0.88,1,903253,,,24
0,903,-0.0083,incon,0.916666667,1.0,2,-0.4515,22,24,1,False,0.92,1,903253,,True,25
1,849,-0.0198,incon,0.916666667,0.857142857,3,0.5755,23,26,1,False,0.88,1,903253,,True,26
1,836,-0.038,con,0.916666667,0.714285714,6,0.582,25,31,1,False,0.81,1,903253,,True,27
1,553,0.1966,con,0.875,1.0,13,0.7235,23,36,1,False,0.64,1,903253,,True,28
0,608,0.2251,incon,0.875,0.714285714,2,-0.304,22,24,1,False,0.92,1,903253,,True,29
0,806,0.2348,con,0.833333333,1.0,5,-0.403,24,29,1,False,0.83,1,903253,,True,30
1,588,0.2609,con,0.833333333,0.857142857,2,0.706,21,23,1,False,0.91,1,903253,,True,31
1,520,,con,0.083333333,0.285714286,3,0.74,1,4,1,False,0.25,1,447538,,,7
1,842,,incon,0.166666667,0.571428571,3,0.579,3,6,1,False,0.5,1,447538,,,8
1,796,,incon,0.25,0.857142857,2,0.602,5,7,1,False,0.71,1,447538,,,9
1,939,,incon,0.333333333,1.0,1,0.5305,7,8,1,False,0.88,1,447538,,,10
1,812,0.6091,con,0.416666667,1.0,1,0.594,9,10,1,False,0.9,1,447538,,,11
1,1184,0.5427,con,0.5,1.0,1,0.408,11,12,1,False,0.92,1,447538,,,12
0,1158,0.3111,con,0.541666667,1.0,1,-0.579,13,14,1,False,0.93,1,447538,,,13
1,1302,0.2605,incon,0.5,0.857142857,2,0.349,14,16,1,False,0.88,1,447538,,,14
0,1055,0.0489,con,0.541666667,1.0,1,-0.5275,13,14,1,False,0.93,1,447538,,,15
1,1034,0.0267,con,0.5,0.857142857,2,0.483,14,16,1,False,0.88,1,447538,,,16
0,1983,-0.2532,con,0.541666667,1.0,1,-0.9915,13,14,1,False,0.93,1,447538,,,17
1,884,-0.0258,incon,0.583333333,1.0,2,0.558,14,16,1,False,0.88,1,447538,,True,18
1,844,0.02,con,0.583333333,1.0,2,0.578,15,17,1,False,0.88,1,447538,,True,19
1,992,0.2263,incon,0.583333333,0.857142857,5,0.504,17,22,1,False,0.77,1,447538,,True,20
0,1319,-0.0022,incon,0.541666667,1.0,2,-0.6595,15,17,1,False,0.88,1,447538,,True,21
1,759,0.3202,con,0.541666667,0.857142857,2,0.6205,14,16,1,False,0.88,1,447538,,True,22
0,1079,0.1007,incon,0.5,1.0,5,-0.5395,16,21,1,False,0.76,1,447538,,True,23
1,801,0.105,incon,0.5,1.0,1,0.5995,13,14,1,False,0.93,1,447538,,True,24
1,713,,con,0.083333333,0.285714286,3,0.6435,1,4,1,False,0.25,1,500535,,,7
1,501,,con,0.166666667,0.571428571,3,0.7495,3,6,1,False,0.5,1,500535,,,8
1,1125,,incon,0.25,0.857142857,2,0.4375,5,7,1,False,0.71,1,500535,,,9
1,1491,,con,0.291666667,1.0,1,0.2545,7,8,1,False,0.88,1,500535,,,10
1,1442,0.4728,incon,0.333333333,1.0,1,0.279,8,9,1,False,0.89,1,500535,,,11
1,1044,0.4397,incon,0.375,1.0,1,0.478,9,10,1,False,0.9,1,500535,,,12
0,1199,0.1699,con,0.416666667,1.0,1,-0.5995,10,11,1,False,0.91,1,500535,,,13
1,1179,0.1645,con,0.375,0.857142857,1,0.4105,11,12,1,False,0.92,1,500535,,,14
1,1015,0.2121,con,0.416666667,1.0,1,0.4925,10,11,1,False,0.91,1,500535,,,15
0,1055,0.0508,incon,0.458333333,1.0,1,-0.5275,11,12,1,False,0.92,1,500535,,,16
0,1789,-0.2237,incon,0.416666667,0.857142857,1,-0.8945,12,13,1,False,0.92,1,500535,,,17
1,1185,-0.0223,con,0.458333333,1.0,1,0.4075,11,12,1,False,0.92,1,500535,,True,18
1,1580,-0.0624,incon,0.458333333,0.857142857,1,0.21,12,13,1,False,0.92,1,500535,,True,19
1,1021,-0.063,con,0.458333333,0.714285714,4,0.4895,14,18,1,False,0.78,1,500535,,True,20
0,685,-0.026,incon,0.416666667,1.0,4,-0.3425,12,16,1,False,0.75,1,500535,,True,21
0,988,0.0541,con,0.416666667,0.714285714,1,-0.494,11,12,1,False,0.92,1,500535,,True,22
1,1050,0.0676,con,0.375,1.0,2,0.475,13,15,1,False,0.87,1,500535,,True,23
1,1772,0.0484,incon,0.375,0.857142857,1,0.114,10,11,1,False,0.91,1,500535,,True,24
1,469,,con,0.083333333,0.285714286,3,0.7655,1,4,1,False,0.25,1,824943,,,7
1,511,,con,0.166666667,0.571428571,3,0.7445,3,6,1,False,0.5,1,824943,,,8
1,603,,con,0.25,0.857142857,2,0.6985,5,7,1,False,0.71,1,824943,,,9
0,596,,incon,0.333333333,1.0,1,-0.298,7,8,1,False,0.88,1,824943,,,10
1,798,0.5023,incon,0.291666667,0.857142857,1,0.601,9,10,1,False,0.9,1,824943,,,11
1,701,0.4791,incon,0.375,1.0,1,0.6495,8,9,1,False,0.89,1,824943,,,12
0,1969,0.1333,con,0.458333333,1.0,1,-0.9845,10,11,1,False,0.91,1,824943,,,13
0,1087,-0.1151,con,0.416666667,0.857142857,1,-0.5435,12,13,1,False,0.92,1,824943,,,14
0,1968,-0.2523,incon,0.458333333,1.0,1,-0.984,11,12,1,False,0.92,1,824943,,True,15
0,1984,-0.5709,incon,0.458333333,0.857142857,1,-0.992,12,13,1,False,0.92,1,824943,,True,16
1,779,-0.5787,con,0.458333333,0.714285714,4,0.6105,14,18,1,False,0.78,1,824943,,True,17
1,1092,-0.291,incon,0.416666667,1.0,4,0.454,12,16,1,False,0.75,1,824943,,True,18
1,1074,-0.0897,con,0.416666667,0.714285714,1,0.463,11,12,1,False,0.92,1,824943,,True,19
1,1449,0.1622,con,0.375,1.0,2,0.2755,13,15,1,False,0.87,1,824943,,True,20
0,1968,0.1638,incon,0.375,0.857142857,1,-0.984,10,11,1,False,0.91,1,824943,,True,21
1,576,,con,0.083333333,0.285714286,3,0.712,1,4,1,False,0.25,1,808239,,,7
1,526,,incon,0.166666667,0.571428571,3,0.737,3,6,1,False,0.5,1,808239,,,8
1,543,,con,0.25,0.857142857,2,0.7285,5,7,1,False,0.71,1,808239,,,9
1,536,,incon,0.333333333,1.0,1,0.732,7,8,1,False,0.88,1,808239,,,10
0,1080,0.4739,incon,0.416666667,1.0,1,-0.54,9,10,1,False,0.9,1,808239,,,11
1,1196,0.4119,incon,0.375,0.857142857,1,0.402,11,12,1,False,0.92,1,808239,,,12
0,963,0.1682,con,0.375,1.0,1,-0.4815,10,11,1,False,0.91,1,808239,,,13
0,1058,-0.0833,con,0.333333333,0.857142857,4,-0.529,12,16,1,False,0.75,1,808239,,,14
1,709,-0.1006,con,0.375,1.0,1,0.6455,9,10,1,False,0.9,1,808239,,True,15
1,1262,0.0812,incon,0.375,0.857142857,1,0.369,10,11,1,False,0.91,1,808239,,True,16
1,649,0.1359,con,0.375,0.714285714,4,0.6755,12,16,1,False,0.75,1,808239,,True,17
1,669,0.3653,con,0.333333333,1.0,3,0.6655,10,13,1,False,0.77,1,808239,,True,18
1,825,0.5886,incon,0.333333333,0.714285714,1,0.5875,9,10,1,False,0.9,1,808239,,True,19
1,559,0.6036,incon,0.291666667,1.0,1,0.7205,11,12,1,False,0.92,1,808239,,True,20
0,597,0.4701,con,0.291666667,0.857142857,1,-0.2985,8,9,1,False,0.89,1,808239,,True,21
1,541,,incon,0.083333333,0.285714286,3,0.7295,1,4,1,False,0.25,1,372987,,,7
1,688,,con,0.166666667,0.571428571,3,0.656,3,6,1,False,0.5,1,372987,,,8
1,532,,incon,0.25,0.857142857,2,0.734,5,7,1,False,0.71,1,372987,,,9
1,674,,con,0.333333333,1.0,1,0.663,7,8,1,False,0.88,1,372987,,,10
1,1648,0.5917,con,0.416666667,1.0,1,0.176,9,10,1,False,0.9,1,372987,,,11
1,1380,0.5078,incon,0.375,1.0,1,0.31,11,12,1,False,0.92,1,372987,,,12
1,917,0.4849,con,0.416666667,1.0,1,0.5415,10,11,1,False,0.91,1,372987,,,13
1,1321,0.406,incon,0.5,1.0,1,0.3395,11,12,1,False,0.92,1,372987,,,14
1,1634,0.31,incon,0.541666667,1.0,1,0.183,13,14,1,False,0.93,1,372987,,,15
1,657,0.4091,incon,0.5,1.0,2,0.6715,14,16,1,False,0.88,1,372987,,,16
1,1306,0.4165,con,0.583333333,1.0,1,0.347,13,14,1,False,0.93,1,372987,,,17
1,713,0.4369,con,0.625,1.0,2,0.6435,15,17,1,False,0.88,1,372987,,,18
1,783,0.4907,incon,0.708333333,1.0,2,0.6085,16,18,1,False,0.89,1,372987,,,19
1,611,0.593,con,0.791666667,1.0,2,0.6945,18,20,1,False,0.9,1,372987,,,20
0,867,0.372,con,0.875,1.0,2,-0.4335,20,22,1,False,0.91,1,372987,,,21
1,588,0.4438,incon,0.833333333,0.857142857,2,0.706,22,24,1,False,0.92,1,372987,,,22
1,1271,0.388,con,0.916666667,1.0,2,0.3645,21,23,1,False,0.91,1,372987,,,23
1,1335,0.3328,incon,0.958333333,1.0,3,0.3325,23,26,1,False,0.88,1,372987,,,24
1,658,0.3281,con,1.0,1.0,3,0.671,24,27,1,False,0.89,1,372987,,,25
